ticker,name,shares,price,price,purchase_price,purchase_price,holding_value,holding_value,holding_gain_change_pct,six_month_return_pct,ytd_return_pct,one_year_return_pct,portfolio_pct,industry,pe_ratio,currency,holding_value_cad,highest_price_target,lowest_price_target
PARA,Paramount Global Class B,10.0,$13.25,13.25,$23.26,23.26,$132.50,132.5,43.04,20.67,26.67,17.88,0.92%,Entertainment,-1.61,USD,181.525,16.0,10.0
TSE:REAL,Real Matters Inc,30.0,C$5.31,5.31,C$9.66,9.66,C$159.30,159.3,45.03,15.17,21.1,26.56,0.81%,Software - Application,183.10,CAD,159.3,8.0,7.0
BHR,Braemar Hotels & Resorts,30.0,$2.34,2.34,$4.30,4.3,$70.20,70.2,45.53,8.59,22.0,37.93,0.49%,REIT - Hotel & Motel,-2.73,USD,96.174,,
IVR,Invesco Mortgage,10.0,$7.68,7.68,$14.60,14.6,$76.80,76.8,47.39,7.8,4.6,16.06,0.53%,REIT - Mortgage,19.35,USD,105.21600000000001,7.0,7.0
VIOT,Viomi Technology Co,5.0,$3,3.0,$5.83,5.83,$15.00,15.0,48.54,112.77,96.08,210.88,0.10%,"Furnishings, Fixtures & Appliances",23.22,USD,20.55,,
TV,"Grupo Televisa, S.A.B.",20.0,$2.5,2.5,$4.98,4.98,$50.00,50.0,49.8,30.21,48.81,15.21,0.35%,Telecommunications Services,-2.68,USD,68.5,3.0,2.0
ORC,Orchid Island Capital,10.0,$7.28,7.28,$14.58,14.58,$72.80,72.8,50.05,9.34,6.43,11.11,0.51%,REIT - Mortgage,37.49,USD,99.736,,
OLPX,Olaplex Holdings,75.0,$1.5,1.5,$3.22,3.22,$112.50,112.5,53.41,4.54,13.02,25.76,0.78%,Specialty Retail,81.97,USD,154.125,4.0,2.0
AMRN,Amarin,2.5,$14.65,14.65,$31.84,31.84,$36.63,36.63,53.99,25.95,51.03,6.41,0.26%,Biotechnology,-3.43,USD,50.18310000000001,12.0,12.0
RDI,Reading International,29.0,$1.3,1.3,$2.96,2.96,$37.70,37.7,56.07,16.13,5.8,16.13,0.26%,Entertainment,-1.09,USD,51.64900000000001,,
ALTO,Alto Ingredients,28.0,$1.11,1.11,$2.58,2.58,$31.08,31.08,57.02,32.32,34.32,29.75,0.22%,Chemicals - Specialty,-1.36,USD,42.5796,6.0,6.0
ATUS,Altice Usa,30.0,$2.55,2.55,$6.40,6.4,$76.50,76.5,60.13,10.84,7.59,20.85,0.53%,Telecommunications Services,-7.50,USD,104.805,4.0,1.0
STEM,Stem Inc,5.0,$15.17,15.17,$38.36,38.36,$75.85,75.85,60.46,32.27,25.8,36.26,0.53%,Software - Infrastructure,-0.15,USD,103.9145,12.0,7.0
BGS,B&G Foods,15.0,$4.25,4.25,$10.95,10.95,$63.75,63.75,61.19,34.82,38.32,50.75,0.44%,Packaged Foods,-1.60,USD,87.3375,6.0,4.0
NCMI,National Cinemedia,25.0,$4.85,4.85,$12.57,12.57,$121.25,121.25,61.43,27.72,26.96,19.3,0.84%,Advertising Agencies,-24.85,USD,166.1125,8.0,6.0
FUBO,fuboTV,32.0,$3.54,3.54,$9.23,9.23,$113.28,113.28,61.66,14.08,151.06,144.14,0.79%,Broadcasting,18.44,USD,155.1936,5.0,3.0
TSE:SPP,Spot Coffee (Canada),600.0,<C$0.1,0.1,C$0.05,0.05,C$9.00,9.0,66.67,0.0,0.0,0.0,0.05%,Restaurants & Bars,,CAD,9.0,,
AFLYY,Air France KLM,24.0,$1.26,1.26,$4.17,4.17,$30.24,30.24,69.78,53.88,54.99,44.56,0.22%,"Airlines, Airports & Air Services",6.49,USD,41.4288,,
XOS,Xos,1.437,$3.02,3.02,$10.31,10.31,$4.34,4.34,70.71,0.33,7.08,50.57,0.03%,Agricultural - Machinery,-0.49,USD,5.9458,6.0,6.0
REKR,Rekor Systems,6.0,$1.13,1.13,$3.98,3.98,$6.78,6.78,71.61,38.25,35.06,37.22,0.05%,Software - Infrastructure,-1.95,USD,9.2886,4.0,4.0
TSE:BLDP,Ballard Power Systems,40.0,C$2.58,2.58,C$9.80,9.8,C$103.20,103.2,73.67,36.76,1.09,15.45,0.52%,Industrial - Machinery,-1.85,CAD,103.2,3.0,1.0
SNDL,SNDL,16.0,$1.46,1.46,$6.14,6.14,$23.36,23.36,76.21,19.34,23.16,35.82,0.16%,Drug Manufacturers - Specialty & Generic,-5.01,USD,32.0032,,
TSE:LABS,MediPharm Labs,450.0,<C$0.1,0.1,C$0.30,0.3,C$29.25,29.25,78.17,8.51,21.43,2.0,0.15%,Drug Manufacturers - Specialty & Generic,-3.57,CAD,29.25,,
CHPT,ChargePoint Holdings,2.5,$9.06,9.06,$43.68,43.68,$22.65,22.65,79.26,50.94,53.69,75.59,0.16%,Specialty Retail,-0.74,USD,31.0305,40.0,10.0
TSE:THC,THC Biomed INTL,999.0,<C$0.1,0.1,C$0.10,0.1,C$19.98,19.98,80.78,0.0,,60.0,0.10%,Drug Manufacturers - Specialty & Generic,,CAD,19.98,,
CUE,Cue Biopharma,30.0,$0.82,0.82,$4.70,4.7,$24.61,24.61,82.55,39.7,24.77,7.19,0.17%,Biotechnology,-1.23,USD,33.715700000000005,,
PLUG,Plug Power,20.0,$1.59,1.59,$15.12,15.12,$31.80,31.8,89.48,17.19,31.76,33.75,0.22%,Electrical Equipment & Parts,-0.70,USD,43.566,4.0,1.0
API,Agora,1.0,$3.82,3.82,$40.00,40.0,$3.82,3.82,90.45,36.86,12.58,52.8,0.03%,Software - Application,-10.80,USD,5.2334000000000005,7.0,7.0
TSE:SOLR,Solar Alliance Energy,750.0,<C$0.1,0.1,C$0.19,0.19,C$11.25,11.25,92.08,40.0,50.0,72.73,0.06%,Solar,-3.19,CAD,11.25,,
TSE:FOBI,Fobi AI,200.0,<C$0.1,0.1,C$0.53,0.53,C$8.00,8.0,92.38,37.5,31.25,47.62,0.04%,Software - Infrastructure,,CAD,8.0,,
TSE:GRN,Greenlane Renewables Inc,200.0,C$0.1,0.1,C$1.32,1.32,C$20.00,20.0,92.43,5.26,5.26,9.09,0.10%,Industrial - Pollution & Treatment Controls,-9.71,CAD,20.0,,
TSE:KAS,Cryptoblox Technologies,50.0,<C$0.1,0.1,C$0.92,0.92,C$2.50,2.5,94.57,48.05,62.96,63.96,0.01%,Software - Application,-1.00,CAD,2.5,,
AHT,Ashford Hospitality,3.0,$6.42,6.42,$127.40,127.4,$19.26,19.26,94.96,19.14,13.83,33.03,0.13%,REIT - Hotel & Motel,-0.17,USD,26.386200000000006,,
TVRD,Tvardi Therapeutics,0.28,$25.98,25.98,$521.10,521.1,$7.27,7.27,95.01,72.85,41.5,102.21,0.05%,Biotechnology,-0.88,USD,9.9599,78.0,41.0
CANN,General Cannabis,100.0,<$0.1,0.1,$0.65,0.65,$3.00,3.0,95.38,7.14,50.0,50.0,0.02%,Drug Manufacturers - Specialty & Generic,-0.93,USD,4.11,,
CLRB,Cellectar Biosciences,0.67,$4.71,4.71,$133.88,133.88,$3.16,3.16,96.48,36.95,47.49,92.7,0.02%,Biotechnology,-0.21,USD,4.3292,90.0,90.0
TSE:CJR.B,Corus Entertainment,70.0,<C$0.1,0.1,C$2.77,2.77,C$6.30,6.3,96.75,2.94,1.45,12.5,0.03%,Entertainment,-0.23,CAD,6.3,0.0,0.0
NOVAQ,Sunnova Energy International,100.0,<$0.1,0.1,$1.58,1.58,$1.00,1.0,99.37,99.64,99.75,99.86,<0.01%,Solar,>-0.01,USD,1.37,,
WKHS,Workhorse Group,0.4,$1.71,1.71,$589.19,589.19,$0.68,0.68,99.71,73.86,80.4,90.69,<0.01%,Auto - Manufacturers,-0.04,USD,0.9316000000000001,,
NKLAQ,Nikola,3.33,<$0.1,0.1,$79.53,79.53,$0.06,0.06,99.98,97.65,98.53,99.79,<0.01%,Industrial Machinery,>-0.01,USD,0.08220000000000001,,
Cash,$0,,,,,,,,,,,,,,,USD,,,
,,,,,,,,,,,,,,,,USD,,,
